Date,Open,High,Low,Close,Volume
2003-01-02,633.03,637.1,623.75,635.17,742864400
2003-01-03,651.59,662.4,649.62,661.1,1005749500
2003-01-06,665.1,667.71,657.61,666.71,721798300
2003-01-07,679.0,679.3,652.14,652.2,690116500
2003-01-08,655.97,660.39,650.93,651.72,604873200
2003-01-09,643.5,644.43,630.4,630.4,627178200
2003-01-10,643.28,644.48,618.68,628.36,700708600
2003-01-13,627.01,648.06,624.46,648.06,847846300
2003-01-14,645.66,652.63,639.91,650.05,712860700
2003-01-15,656.23,659.05,643.52,648.29,582278200
2003-01-16,639.56,649.54,635.79,648.69,484260500
2003-01-17,640.31,649.1,636.46,636.46,640387600
2003-01-20,627.78,634.91,626.41,634.5,480825000
2003-01-21,635.67,636.04,624.46,632.86,470957100
2003-01-22,627.11,631.66,617.43,622.49,525275900
2003-01-23,622.54,626.98,615.11,625.18,507648900
2003-01-24,625.69,629.79,604.74,609.43,444638000
2003-01-27,597.82,597.82,587.72,593.09,384229500
2003-01-28,590.54,600.56,589.51,600.56,345205600
2003-01-29,601.25,602.18,581.13,583.35,562754500
2003-01-30,589.07,593.7,586.03,591.86,510747600
2003-02-03,591.88,602.85,586.14,600.41,425272400
2003-02-04,602.29,605.59,596.78,603.78,709178200
2003-02-05,598.34,606.7,595.39,600.68,755849400
2003-02-06,601.74,603.55,586.43,589.5,519869100
2003-02-07,587.68,587.7,571.2,577.48,466702800
2003-02-10,573.09,579.71,571.96,577.25,459064100
2003-02-11,582.47,585.71,561.69,575.98,563284000
2003-02-12,572.87,583.29,572.46,583.29,353607900
2003-02-13,584.97,585.74,572.42,575.67,402030400
2003-02-14,574.89,577.09,567.46,575.24,533853400
2003-02-17,590.39,602.23,588.22,601.87,648037800
2003-02-18,602.57,606.4,593.76,603.45,547232400
2003-02-19,613.15,616.79,600.51,600.83,531013500
2003-02-20,601.29,606.22,597.97,605.51,1035938300
2003-02-21,605.26,605.26,597.04,603.6,798922800
2003-02-24,608.77,619.45,608.77,616.29,615301300
2003-02-25,604.67,605.34,592.25,592.25,524940100
2003-02-26,594.42,597.69,588.94,590.26,567686100
2003-02-27,580.91,585.33,576.07,582.46,562681700
2003-02-28,586.07,587.94,573.3,575.43,596286500
2003-03-03,578.5,590.55,577.54,590.04,605605600
2003-03-04,581.09,581.68,573.15,576.58,584630800
2003-03-05,567.3,567.53,557.68,560.26,764029400
2003-03-06,564.74,564.87,551.8,555.33,735616100
2003-03-07,547.89,555.38,544.09,546.02,635049700
2003-03-10,545.54,548.29,541.29,544.24,607064100
2003-03-11,531.78,538.62,530.55,532.53,657882800
2003-03-12,531.17,534.76,524.53,531.81,793803500
2003-03-13,530.86,531.78,514.43,531.78,679689800
2003-03-14,547.29,548.45,534.51,537.65,758918300
2003-03-17,535.79,535.79,512.3,515.24,640102400
2003-03-18,536.69,539.3,526.86,537.31,682899400
2003-03-19,534.86,546.68,534.64,541.78,615585400
2003-03-20,553.63,568.66,548.45,568.46,1076215100
2003-03-21,569.67,576.95,565.34,575.77,822452500
2003-03-24,579.08,579.08,568.27,569.85,876051800
2003-03-25,550.55,558.44,550.28,554.98,882061600
2003-03-26,562.2,565.5,551.41,554.79,890660400
2003-03-27,550.54,551.8,546.46,549.26,604574200
2003-03-28,552.13,556.33,544.67,556.33,484310200
2003-03-31,547.75,549.32,534.23,535.7,545045400
2003-04-01,529.07,538.68,525.51,538.56,525127000
2003-04-02,540.92,543.54,533.13,542.92,639598000
2003-04-03,555.73,556.21,543.58,545.24,626889200
2003-04-04,540.26,558.84,536.7,558.01,550499200
2003-04-07,566.93,589.34,563.26,585.9,796940900
2003-04-08,576.46,593.09,574.16,587.32,861426200
2003-04-09,581.3,582.6,569.47,569.47,761952600
2003-04-10,569.51,578.56,565.83,577.73,741397400
2003-04-11,577.09,597.02,574.3,582.97,900313100
2003-04-14,590.04,603.41,588.91,594.4,719566500
2003-04-15,606.6,608.19,599.15,604.99,789489300
2003-04-16,616.32,625.01,614.45,621.34,894670000
2003-04-17,614.67,619.62,611.94,612.72,789830900
2003-04-18,623.17,625.13,616.29,624.77,839908200
2003-04-21,623.89,627.5,615.77,620.83,752354700
2003-04-22,614.98,614.98,601.85,603.32,773184700
2003-04-23,609.2,611.92,597.93,598.09,747944400
2003-04-24,598.2,600.93,584.43,588.35,692374800
2003-04-25,578.2,578.2,560.53,566.63,660783300
2003-04-28,559.03,573.34,556.15,569.02,467204000
2003-04-29,580.44,599.1,579.11,597.36,529782300
2003-04-30,597.23,604.21,593.16,599.35,452148600
2003-05-02,600.47,602.62,582.87,597.44,437577400
2003-05-06,603.05,609.72,602.29,604.33,570746900
2003-05-07,610.87,618.48,606.88,618.08,513433600
2003-05-09,612.25,619.25,608.41,619.11,588222000
2003-05-12,631.9,637.19,630.14,631.04,655917000
2003-05-13,631.82,633.81,613.25,614.07,614456600
2003-05-14,610.63,616.82,606.06,609.97,484389800
2003-05-15,613.63,620.45,605.62,619.35,634665400
2003-05-16,619.12,622.64,607.74,610.81,506441400
2003-05-19,603.77,603.77,592.84,596.36,350449200
2003-05-20,585.86,602.09,584.62,602.08,421521600
2003-05-21,599.55,603.24,596.29,600.57,442311700
2003-05-22,599.06,607.98,591.73,595.38,448997800
2003-05-23,602.8,612.07,601.03,611.51,441168300
2003-05-26,611.15,621.65,607.76,617.65,483847200
2003-05-27,619.86,620.0,609.05,614.3,470044100
2003-05-28,629.19,630.92,622.53,628.36,603929100
2003-05-29,624.1,636.2,623.01,632.43,454445600
2003-05-30,632.15,635.81,627.02,633.42,470149000
2003-06-02,643.93,649.69,642.61,648.71,514965100
2003-06-03,641.74,643.69,633.56,636.94,494561100
2003-06-04,642.35,642.79,632.47,640.27,442208900
2003-06-05,647.72,648.35,641.58,642.38,521559100
2003-06-09,640.58,651.16,638.31,650.35,351400600
2003-06-10,645.41,652.9,644.18,649.75,361328900
2003-06-11,651.93,657.92,650.27,651.29,497477900
2003-06-12,658.43,661.89,653.73,657.95,611953300
2003-06-13,663.1,670.2,655.76,665.24,503052200
2003-06-16,661.6,664.01,655.86,657.82,432731700
2003-06-17,673.76,677.58,670.33,674.66,661646700
2003-06-18,673.84,681.38,672.52,675.75,584095800
2003-06-19,681.03,690.59,679.06,690.49,588424100
2003-06-20,684.04,690.7,683.76,686.22,534519900
2003-06-23,685.97,686.6,673.33,674.59,471989600
2003-06-24,664.4,665.63,659.77,664.01,451359900
2003-06-25,665.98,674.96,665.88,674.03,505214900
2003-06-26,668.32,679.57,667.72,675.75,461919300
2003-06-27,682.14,686.18,675.48,677.28,486105800
2003-06-30,673.66,674.9,666.91,669.93,320728800
2003-07-01,666.45,674.75,663.35,674.75,344509900
2003-07-02,682.57,687.04,680.68,685.8,482616200
2003-07-03,696.54,699.34,684.94,686.83,544331200
2003-07-04,687.03,693.95,684.64,693.25,442799600
2003-07-07,699.32,704.31,696.76,704.29,439453800
2003-07-08,715.54,715.8,706.12,708.34,568608500
2003-07-09,708.55,710.28,704.34,705.5,543852000
2003-07-10,701.43,710.26,700.49,700.51,577869200
2003-07-11,694.14,704.54,691.59,704.15,560477400
2003-07-14,709.09,720.59,705.4,720.1,559538400
2003-07-15,723.08,724.53,712.36,713.45,719789300
2003-07-16,720.89,722.85,709.55,716.48,589353000
2003-07-18,700.52,707.43,697.67,699.35,546269700
